DBN,School Name,X_Coordinate,Y_Coordinate,Latitude,Longitude
27Q351,Rockaway Collegiate High School,1032769,152825,40.586012,-73.825317
27Q400,August Martin High School,1044531,184889,40.673949,-73.782684
27Q475,Richmond Hill High School,1030333,192590,40.695171,-73.833815
27Q480,John Adams High School,1029012,187084,40.680065,-73.838616
28Q008,J.H.S. 008 Richard S. Grossley,1043479,193252,40.69691,-73.786403
28Q072,Catherine & Count Basie Middle School 72,1046483,185282,40.675014,-73.775643
28Q338,Queens Satellite High School for Opportunity,1039829,197358,40.708204,-73.799532
29Q052,P.S. 052 Queens,1048849,180338,40.661427,-73.767161
29Q238,I.S. 238 - Susan B. Anthony Academy,1045336,199025,40.712743,-73.779653
30Q111,P.S. 111 Jacob Blackwell,1001099,215567,40.758342,-73.939181
30Q126,Albert Shanker School for Visual and Performing Arts,1003643,218362,40.766008,-73.92999
30Q148,P.S. 148 Queens,1017872,215325,40.757629,-73.878638
30Q149,P.S. 149 Christa Mcauliffe,1019018,214645,40.755759,-73.874505
30Q171,P.S. 171 Peter G. Van Alst,1003890,220154,40.770926,-73.929093
30Q230,I.S. 230,1013928,213494,40.752618,-73.892883
30Q445,William Cullen Bryant High School,1008861,215111,40.757072,-73.911165
30Q450,Long Island City High School,1002558,218315,40.765881,-73.933907
31R046,P.S. 046 Albert V. Maniscalco,961802,155863,40.594455,-74.080829
31R049,I.S. 49 Berta A. Dreyfus,961848,165331,40.620443,-74.080695
31R057,P.S. 057 Hubert H. Humphrey,960983,161941,40.611136,-74.083799
31R078,P.S. 78,962256,166049,40.622415,-74.079228
31R445,Port Richmond High School,944859,170861,40.635562,-74.141924
31R450,Curtis High School,961453,174437,40.645436,-74.082149
32K168,Brooklyn School For Math and Research,1008721,193027,40.696457,-73.911751
32K291,J.H.S. 291 Roland Hayes,1007760,192814,40.695875,-73.915217
32K349,"I.S. 349 Math, Science & Tech.",1004231,194609,40.70081,-73.927938
32K403,Academy For Environmental Leadership,1008721,193027,40.696457,-73.911751
32K549,The Brooklyn School for Social Justice,1008721,193027,40.696457,-73.911751
32K552,Academy Of Urban Planning and Engineering,1008721,193027,40.696457,-73.911751
32K556,Bushwick Leaders High School For Academic Excellence,1004396,192651,40.695436,-73.927349
75M811,P.S.M811 Mickey Mantle School,990005,225759,40.78633,-73.979217
84M522,Broome Street Academy Charter School,982950,203014,40.723911,-74.004692
